sighting_id,date,lat,lon,type,source,prefecture,municipality,description
akita_kumadas_19889,2010-06-29 14:30:00,39.51874302,140.2374989,目撃,akita_kumadas,秋田,秋田市,【投稿】田んぼのくろで座っている熊。
akita_kumadas_19888,2020-04-29 08:00:00,39.51550788,140.2379136,目撃,akita_kumadas,秋田,秋田市,【投稿】田んぼを歩く熊の親子。近くの木に子グマがのぼったりしていた。
akita_kumadas_19887,2020-05-07 08:00:00,39.51566226,140.2378936,目撃,akita_kumadas,秋田,秋田市,【投稿】以前にも出没、同じ熊親子か
akita_kumadas_19886,2020-06-18 17:00:00,39.51644474,140.2410489,目撃,akita_kumadas,秋田,秋田市,【投稿】親クマと子グマは離れて移動していた。それぞれ正反対の山へ消えて行った
akita_kumadas_19885,2021-04-13 14:00:00,39.51579055,140.2372338,目撃,akita_kumadas,秋田,秋田市,田んぼで農作業中に山の方に熊出没、タケノコや山菜がある所と思われる
akita_kumadas_19884,2021-05-15 10:30:00,39.51814525,140.2383134,目撃,akita_kumadas,秋田,秋田市,この近辺は県道沿いから山へ上がる獣道のようになっている所が何箇所が見られる、ちょうど親子3頭が山へ上がって行く様子を見た。【投稿】
akita_kumadas_19883,2022-04-10 14:00:00,39.55719,140.13278,目撃,akita_kumadas,秋田,由利本荘市,市道宮前板沢線付近。指導脇の田から道路を横断して南側の山林に向かって移動。体長1m以上。人家までの距離約800m。
akita_kumadas_19882,2022-04-12 10:00:00,40.14141,140.72823,目撃,akita_kumadas,秋田,大館市,走行中、車の前の道路を熊が横断した。
akita_kumadas_19881,2022-04-19 14:00:00,39.43414,140.15102,目撃,akita_kumadas,秋田,由利本荘市,nan
akita_kumadas_19880,2022-04-21 10:25:00,40.31343472,140.7226943,目撃,akita_kumadas,秋田,小坂町,nan
akita_kumadas_19879,2022-04-21 12:40:00,40.03906333,140.0995595,目撃,akita_kumadas,秋田,三種町,県道付近
akita_kumadas_19878,2022-04-21 14:00:00,39.27356,140.0645,目撃,akita_kumadas,秋田,由利本荘市,石油資源開発従業員が駐車場から県道を挟んだ西側の斜面に熊を発見。熊は、山菜などを食べている様子で、付近を行ったり来たりしていた。約一時間ほど滞在し姿を消した。
akita_kumadas_19877,2022-04-21 14:30:00,39.27265487,140.0627903,目撃,akita_kumadas,秋田,由利本荘市,山中
akita_kumadas_19876,2022-04-21 15:00:00,40.18893063,140.7442458,目撃,akita_kumadas,秋田,鹿角市,nan
akita_kumadas_19875,2022-04-22 23:50:00,40.10255221,140.0803021,目撃,akita_kumadas,秋田,三種町,nan
akita_kumadas_19874,2022-04-24 08:00:00,40.19153793,140.7454217,目撃,akita_kumadas,秋田,鹿角市,nan
akita_kumadas_19873,2022-04-24 17:10:00,39.66199668,140.6759398,目撃,akita_kumadas,秋田,仙北市,nan
akita_kumadas_19872,2022-04-25 10:10:00,40.21628839,140.6002613,目撃,akita_kumadas,秋田,大館市,nan
akita_kumadas_19871,2022-04-25 12:30:00,39.28639675,140.3127496,目撃,akita_kumadas,秋田,由利本荘市,nan
akita_kumadas_19870,2022-04-25 18:00:00,40.13988,140.71869,目撃,akita_kumadas,秋田,大館市,１ｍ前後の成獣か。道路を横断し車に驚く気配もなし。
akita_kumadas_19869,2022-04-26 17:00:00,39.61428522,140.4936991,目撃,akita_kumadas,秋田,仙北市,nan
akita_kumadas_19868,2022-04-27 07:30:00,39.2750807,140.2716463,目撃,akita_kumadas,秋田,由利本荘市,水田
akita_kumadas_19867,2022-04-27 15:00:00,40.04887255,140.1025269,目撃,akita_kumadas,秋田,三種町,林道上
akita_kumadas_19866,2022-04-28 13:50:00,40.24100977,140.0891128,目撃,akita_kumadas,秋田,能代市,畑
akita_kumadas_19865,2022-04-28 17:30:00,39.53036616,140.3790958,目撃,akita_kumadas,秋田,大仙市,道路上
akita_kumadas_19864,2022-04-29 07:50:00,40.15636984,140.2168695,目撃,akita_kumadas,秋田,能代市,畑地
akita_kumadas_19863,2022-04-30 10:00:00,39.12086,139.98941,目撃,akita_kumadas,秋田,にかほ市,鳥海ブルーラインをパトロール中、道路を横断するくまを目撃。
akita_kumadas_19862,2022-04-30 10:30:00,39.12815352,139.9863847,目撃,akita_kumadas,秋田,にかほ市,県道鳥海公園小滝線上
akita_kumadas_19861,2022-04-30 13:00:00,40.18164134,140.7184943,目撃,akita_kumadas,秋田,鹿角市,山林内
akita_kumadas_19860,2022-04-30 22:00:00,39.20937,140.19359,目撃,akita_kumadas,秋田,由利本荘市,小屋のトタンを破壊して侵入。民家脇の小屋にある漬物を荒らした。
akita_kumadas_19859,2022-05-01 18:00:00,39.41023,140.22755,目撃,akita_kumadas,秋田,由利本荘市,nan
akita_kumadas_19858,2022-05-02 07:30:00,39.40728486,140.0439356,目撃,akita_kumadas,秋田,由利本荘市,市道上
akita_kumadas_19857,2022-05-02 10:45:00,40.27496449,140.5915206,目撃,akita_kumadas,秋田,大館市,nan
akita_kumadas_19856,2022-05-03 10:30:00,39.59674116,140.1251421,目撃,akita_kumadas,秋田,秋田市,高速道路上
akita_kumadas_19855,2022-05-03 18:00:00,39.46488,140.217,目撃,akita_kumadas,秋田,由利本荘市,nan
akita_kumadas_19854,2022-05-04 13:50:00,40.17254921,140.3704332,目撃,akita_kumadas,秋田,北秋田市,草地
akita_kumadas_19853,2022-05-05 14:00:00,39.74003,140.34157,目撃,akita_kumadas,秋田,秋田市,nan
akita_kumadas_19852,2022-05-05 16:20:00,39.60653195,140.2361805,目撃,akita_kumadas,秋田,秋田市,県道上
akita_kumadas_19851,2022-05-05 16:25:00,39.70400357,140.1653893,目撃,akita_kumadas,秋田,秋田市,草地
akita_kumadas_19850,2022-05-07 19:30:00,40.38186248,140.7120084,目撃,akita_kumadas,秋田,小坂町,国道282号上
akita_kumadas_19849,2022-05-07 20:00:00,40.21390954,140.209982,目撃,akita_kumadas,秋田,能代市,堤防の道路
akita_kumadas_19848,2022-05-08 07:00:00,39.50132,140.08481,目撃,akita_kumadas,秋田,由利本荘市,旧亀田駐在所付近。（亀田地区の住宅街）児童が外で遊んでいたところ、母親が発見。
akita_kumadas_19847,2022-05-08 18:00:00,39.42161,140.05347,目撃,akita_kumadas,秋田,由利本荘市,仔熊が市道を横断しているところを目撃。親熊は見ていない。
akita_kumadas_19846,2022-05-09 12:30:00,39.69863111,140.3471448,目撃,akita_kumadas,秋田,秋田市,岩見川
akita_kumadas_19845,2022-05-11 11:00:00,40.13870533,140.2984716,目撃,akita_kumadas,秋田,北秋田市,水田
akita_kumadas_19844,2022-05-11 15:00:00,40.31205378,140.7211245,目撃,akita_kumadas,秋田,小坂町,nan
akita_kumadas_19843,2022-05-11 18:00:00,39.60075236,140.5239866,目撃,akita_kumadas,秋田,仙北市,山林内
akita_kumadas_19842,2022-05-12 06:00:00,40.30393014,140.5518681,目撃,akita_kumadas,秋田,大館市,水田
akita_kumadas_19841,2022-05-12 15:00:00,39.55010742,140.1949951,目撃,akita_kumadas,秋田,秋田市,国道341号線上
akita_kumadas_19840,2022-05-13 07:45:00,39.61931265,140.1717285,目撃,akita_kumadas,秋田,秋田市,農道上
akita_kumadas_19839,2022-05-13 16:35:00,39.55122192,140.2601764,目撃,akita_kumadas,秋田,大仙市,市道上
akita_kumadas_19838,2022-05-14 06:00:00,39.63740251,140.1960134,目撃,akita_kumadas,秋田,秋田市,市道上
